inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,JC Buttler,17,52.0,1.0,3.0,1.0,36.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,Sandeep Sharma,17,,,,,,2.0,28.0,18.0,1.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,KR Sen,17,,,,,,2.0,8.0,12.0,0.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,YBK Jaiswal,17,10.0,2.0,0.0,1.0,8.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,SV Samson,17,0.0,0.0,0.0,1.0,2.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,SO Hetmyer,17,30.0,2.0,2.0,0.0,18.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,R Ashwin,17,30.0,1.0,2.0,1.0,22.0,2.0,23.0,24.0,2.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,JO Holder,17,0.0,0.0,0.0,1.0,1.0,2.0,36.0,18.0,0.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,Dhruv Jurel,17,4.0,0.0,0.0,1.0,6.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,YS Chahal,17,,,,,,2.0,26.0,24.0,2.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,A Zampa,17,1.0,0.0,0.0,1.0,1.0,2.0,41.0,24.0,1.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
1,D Padikkal,17,38.0,5.0,0.0,1.0,26.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Rajasthan Royals
2,TU Deshpande,17,,,,,,1.0,36.0,24.0,3.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,S Dube,17,8.0,1.0,0.0,1.0,9.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,RD Gaikwad,17,8.0,1.0,0.0,1.0,10.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,RA Jadeja,17,25.0,1.0,2.0,0.0,15.0,1.0,14.0,24.0,2.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,MS Dhoni,17,32.0,1.0,3.0,0.0,17.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,MM Ali,17,7.0,0.0,0.0,1.0,10.0,1.0,21.0,12.0,1.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,Akash Singh,17,,,,,,1.0,39.0,24.0,2.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,DP Conway,17,50.0,6.0,0.0,1.0,38.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,M Theekshana,17,,,,,,1.0,42.0,24.0,0.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,SSB Magala,17,,,,,,1.0,13.0,12.0,0.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,AT Rayudu,17,1.0,0.0,0.0,1.0,2.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
2,AM Rahane,17,31.0,2.0,1.0,1.0,19.0,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings,Chennai Super Kings
