bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Chennai Super Kings,Lucknow Super Giants,1,AT Rayudu,27.0,2.0,2.0,0.0,14.0,,,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Chennai Super Kings,Lucknow Super Giants,1,BA Stokes,8.0,1.0,0.0,1.0,8.0,Chennai Super Kings,Lucknow Super Giants,2.0,18.0,6.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Chennai Super Kings,Lucknow Super Giants,1,DP Conway,47.0,5.0,2.0,1.0,28.0,,,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Chennai Super Kings,Lucknow Super Giants,1,MJ Santner,1.0,0.0,0.0,0.0,1.0,Chennai Super Kings,Lucknow Super Giants,2.0,21.0,24.0,1.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Chennai Super Kings,Lucknow Super Giants,1,MM Ali,19.0,3.0,0.0,1.0,13.0,Chennai Super Kings,Lucknow Super Giants,2.0,25.0,24.0,4.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Chennai Super Kings,Lucknow Super Giants,1,MS Dhoni,12.0,0.0,2.0,1.0,3.0,,,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Chennai Super Kings,Lucknow Super Giants,1,RA Jadeja,3.0,0.0,0.0,1.0,6.0,Chennai Super Kings,Lucknow Super Giants,2.0,14.0,6.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Chennai Super Kings,Lucknow Super Giants,1,RD Gaikwad,57.0,3.0,4.0,1.0,31.0,,,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Chennai Super Kings,Lucknow Super Giants,1,S Dube,27.0,1.0,3.0,1.0,16.0,,,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
,,1,RS Hangargekar,,,,,,Chennai Super Kings,Lucknow Super Giants,2.0,21.0,12.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
,,1,TU Deshpande,,,,,,Chennai Super Kings,Lucknow Super Giants,2.0,38.0,24.0,2.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
,,1,DL Chahar,,,,,,Chennai Super Kings,Lucknow Super Giants,2.0,50.0,24.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
,,2,Ravi Bishnoi,,,,,,Lucknow Super Giants,Chennai Super Kings,1.0,27.0,24.0,3.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
,,2,Avesh Khan,,,,,,Lucknow Super Giants,Chennai Super Kings,1.0,34.0,18.0,1.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,2,N Pooran,32.0,2.0,3.0,1.0,18.0,,,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,2,MP Stoinis,21.0,0.0,1.0,1.0,18.0,,,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,2,K Gowtham,17.0,0.0,1.0,0.0,10.0,Lucknow Super Giants,Chennai Super Kings,1.0,20.0,6.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,2,KR Mayers,53.0,8.0,2.0,1.0,20.0,Lucknow Super Giants,Chennai Super Kings,1.0,15.0,12.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,2,KL Rahul,20.0,2.0,0.0,1.0,18.0,,,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,2,KH Pandya,9.0,0.0,1.0,1.0,9.0,Lucknow Super Giants,Chennai Super Kings,1.0,21.0,12.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,2,DJ Hooda,2.0,0.0,0.0,1.0,6.0,,,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,2,A Badoni,23.0,0.0,0.0,1.0,18.0,,,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,2,MA Wood,10.0,1.0,1.0,0.0,3.0,Lucknow Super Giants,Chennai Super Kings,1.0,49.0,24.0,3.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
,,2,Yash Thakur,,,,,,Lucknow Super Giants,Chennai Super Kings,1.0,35.0,24.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants
