bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Rajasthan Royals,Chennai Super Kings,1,JC Buttler,52.0,1.0,3.0,1.0,36.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
,,1,Sandeep Sharma,,,,,,Rajasthan Royals,Chennai Super Kings,2.0,28.0,18.0,1.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
,,1,KR Sen,,,,,,Rajasthan Royals,Chennai Super Kings,2.0,8.0,12.0,0.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,1,YBK Jaiswal,10.0,2.0,0.0,1.0,8.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,1,SV Samson,0.0,0.0,0.0,1.0,2.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,1,SO Hetmyer,30.0,2.0,2.0,0.0,18.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,1,R Ashwin,30.0,1.0,2.0,1.0,22.0,Rajasthan Royals,Chennai Super Kings,2.0,23.0,24.0,2.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,1,JO Holder,0.0,0.0,0.0,1.0,1.0,Rajasthan Royals,Chennai Super Kings,2.0,36.0,18.0,0.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,1,Dhruv Jurel,4.0,0.0,0.0,1.0,6.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
,,1,YS Chahal,,,,,,Rajasthan Royals,Chennai Super Kings,2.0,26.0,24.0,2.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,1,A Zampa,1.0,0.0,0.0,1.0,1.0,Rajasthan Royals,Chennai Super Kings,2.0,41.0,24.0,1.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,1,D Padikkal,38.0,5.0,0.0,1.0,26.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
,,2,TU Deshpande,,,,,,Chennai Super Kings,Rajasthan Royals,1.0,36.0,24.0,3.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,2,S Dube,8.0,1.0,0.0,1.0,9.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,2,RD Gaikwad,8.0,1.0,0.0,1.0,10.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,2,RA Jadeja,25.0,1.0,2.0,0.0,15.0,Chennai Super Kings,Rajasthan Royals,1.0,14.0,24.0,2.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,2,MS Dhoni,32.0,1.0,3.0,0.0,17.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,2,MM Ali,7.0,0.0,0.0,1.0,10.0,Chennai Super Kings,Rajasthan Royals,1.0,21.0,12.0,1.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
,,2,Akash Singh,,,,,,Chennai Super Kings,Rajasthan Royals,1.0,39.0,24.0,2.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,2,DP Conway,50.0,6.0,0.0,1.0,38.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
,,2,M Theekshana,,,,,,Chennai Super Kings,Rajasthan Royals,1.0,42.0,24.0,0.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
,,2,SSB Magala,,,,,,Chennai Super Kings,Rajasthan Royals,1.0,13.0,12.0,0.0,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,2,AT Rayudu,1.0,0.0,0.0,1.0,2.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,2,AM Rahane,31.0,2.0,1.0,1.0,19.0,,,,,,,2023,T20,2023_04_12,Chennai,Rajasthan Royals_v_Chennai Super Kings
