inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,Dhruv Jurel,11,8.0,0.0,1.0,0.0,3.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,Sandeep Sharma,11,,,,,,2.0,19.0,24.0,1.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,R Ashwin,11,,,,,,2.0,22.0,24.0,2.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,M Ashwin,11,,,,,,2.0,10.0,6.0,0.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,JO Holder,11,,,,,,2.0,27.0,18.0,0.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,YBK Jaiswal,11,60.0,11.0,1.0,1.0,31.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,SV Samson,11,0.0,0.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,SO Hetmyer,11,39.0,1.0,4.0,0.0,20.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,R Parag,11,7.0,0.0,0.0,1.0,11.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,JC Buttler,11,79.0,11.0,1.0,1.0,51.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,TA Boult,11,,,,,,2.0,29.0,24.0,3.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
1,YS Chahal,11,,,,,,2.0,25.0,24.0,3.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Rajasthan Royals
2,R Powell,11,2.0,0.0,0.0,1.0,2.0,1.0,16.0,12.0,1.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,PP Shaw,11,0.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,Mukesh Kumar,11,1.0,0.0,0.0,0.0,1.0,1.0,36.0,24.0,2.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,MK Pandey,11,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,Lalit Yadav,11,38.0,5.0,0.0,1.0,24.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,Kuldeep Yadav,11,3.0,0.0,0.0,0.0,7.0,1.0,31.0,24.0,1.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,KK Ahmed,11,,,,,,1.0,28.0,12.0,0.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,DA Warner,11,65.0,7.0,0.0,1.0,54.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,Abishek Porel,11,7.0,1.0,0.0,1.0,9.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,AR Patel,11,2.0,0.0,0.0,1.0,6.0,1.0,38.0,24.0,0.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,RR Rossouw,11,14.0,2.0,0.0,1.0,12.0,,,,,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
2,A Nortje,11,0.0,0.0,0.0,1.0,1.0,1.0,44.0,24.0,0.0,2023,T20,2023_04_08,Guwahati,Rajasthan Royals_v_Delhi Capitals,Delhi Capitals
