inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Royal Challengers Bangalore,1,V Kohli,0,0,TA Boult,0,1,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,2,Shahbaz Ahmed,1,0,TA Boult,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,2,Shahbaz Ahmed,2,0,TA Boult,1,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,3,0,TA Boult,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,4,0,TA Boult,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,5,0,TA Boult,1,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,0,1,Sandeep Sharma,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,1,1,Sandeep Sharma,4,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,2,1,Sandeep Sharma,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,3,1,Sandeep Sharma,4,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,4,1,Sandeep Sharma,1,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,2,Shahbaz Ahmed,5,1,Sandeep Sharma,1,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,2,Shahbaz Ahmed,0,2,TA Boult,0,1,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,1,2,TA Boult,4,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,2,2,TA Boult,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,3,2,TA Boult,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,4,2,TA Boult,4,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,5,2,TA Boult,2,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,0,3,Sandeep Sharma,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,1,3,Sandeep Sharma,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,2,3,Sandeep Sharma,6,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,3,3,Sandeep Sharma,6,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,4,3,Sandeep Sharma,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,5,3,Sandeep Sharma,4,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,0,4,TA Boult,4,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,1,4,TA Boult,1,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,2,4,TA Boult,1,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,3,4,TA Boult,4,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,4,4,TA Boult,1,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,5,4,TA Boult,1,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,3,F du Plessis,0,5,R Ashwin,1,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,1,5,R Ashwin,0,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
1,Royal Challengers Bangalore,4,GJ Maxwell,2,5,R Ashwin,4,0,,1,1,0,0,Bengaluru,2023-04-23,2023,T20,32,Royal Challengers Bangalore vs Rajasthan Royals
